candidate_id,repo,score,failure_reason,recommended_action,classification,test_command,ecosystem
lbv2_0014,alfanous-team/alfanous,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0015,alfanous-team/alfanous,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0016,alfanous-team/alfanous,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0017,alfanous-team/alfanous,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0018,all-hands-ai/openhands,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0019,all-hands-ai/openhands,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0020,all-hands-ai/openhands,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0021,all-hands-ai/openhands,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0022,alphabitcore/nexus-gateway,0.7700,baseline_tests_execute: heuristic: package script likely runnable; live smoke not executed,add preflight install or fix test cwd before calibration,MINOR_SETUP,npm test,node
lbv2_0023,alphabitcore/nexus-gateway,0.5400,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0024,alphabitcore/nexus-gateway,0.6200,baseline_tests_execute: ,add preflight install or fix test cwd before calibration,MINOR_SETUP,go test,go
lbv2_0025,alphabitcore/nexus-gateway,0.5400,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0026,alphabitcore/nexus-gateway,0.7700,baseline_tests_execute: heuristic: package script likely runnable; live smoke not executed,add preflight install or fix test cwd before calibration,MINOR_SETUP,npm test,node
lbv2_0027,alphabitcore/nexus-gateway,0.7700,baseline_tests_execute: heuristic: package script likely runnable; live smoke not executed,add preflight install or fix test cwd before calibration,MINOR_SETUP,npm test,node
lbv2_0028,alphabitcore/nexus-gateway,0.6200,baseline_tests_execute: ,add preflight install or fix test cwd before calibration,MINOR_SETUP,go test,go
lbv2_0029,alphabitcore/nexus-gateway,0.7700,baseline_tests_execute: heuristic: package script likely runnable; live smoke not executed,add preflight install or fix test cwd before calibration,MINOR_SETUP,npm test,node
lbv2_0030,alphabitcore/nexus-gateway,0.7700,baseline_tests_execute: heuristic: package script likely runnable; live smoke not executed,add preflight install or fix test cwd before calibration,MINOR_SETUP,npm test,node
lbv2_0031,alt-f4-llc/dotfiles.vorpal,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,rust
lbv2_0032,alt-f4-llc/dotfiles.vorpal,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,rust
lbv2_0033,alt-f4-llc/dotfiles.vorpal,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,rust
lbv2_0034,alt-f4-llc/dotfiles.vorpal,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,rust
lbv2_0035,automattic/newspack-workspace,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0036,automattic/newspack-workspace,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0037,automattic/wp-calypso,0.5400,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,Jest,node
lbv2_0038,automattic/wp-calypso,0.8200,baseline_tests_execute: heuristic: package script likely runnable; live smoke not executed,add preflight install or fix test cwd before calibration,MINOR_SETUP,yarn test,node
lbv2_0039,automattic/wp-calypso,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0040,automattic/wp-calypso,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0041,azure-samples/art-voice-agent-accelerator,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0042,azure-samples/art-voice-agent-accelerator,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0043,azure/azure-sdk-for-python,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0044,azure/azure-sdk-for-python,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0045,azure/azure-sdk-for-python,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0046,azure/azure-sdk-for-python,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0047,azure/azure-sdk-for-python,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0048,azure/azure-sdk-for-python,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,Tox,python
lbv2_0049,azure/azure-sdk-tools,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0050,azure/azure-sdk-tools,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0051,azure/azure-sdk-tools,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0052,azure/azure-sdk-tools,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,vitest,go
lbv2_0053,azure/azure-sdk-tools,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0054,azure/oav,1.0000,,proceed to task calibration,READY,npm test,node
lbv2_0055,checkmk/checkmk,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0056,checkmk/checkmk,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0057,checkmk/checkmk,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0058,communitytoolkit/aspire,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0059,communitytoolkit/aspire,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0060,communitytoolkit/aspire,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0061,crewaiinc/crewai,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0062,crewaiinc/crewai,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0063,dagster-io/dagster,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0064,dagster-io/dagster,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0065,dagster-io/dagster,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0066,damianb-bitflipper/proton-drive-sync,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0067,datadog/dd-trace-js,0.8200,baseline_tests_execute: heuristic: package script likely runnable; live smoke not executed,add preflight install or fix test cwd before calibration,MINOR_SETUP,yarn test,node
lbv2_0068,datadog/dd-trace-js,0.8200,baseline_tests_execute: ,add preflight install or fix test cwd before calibration,MINOR_SETUP,npm run test,node
lbv2_0069,datadog/dd-trace-js,0.8200,baseline_tests_execute: ,add preflight install or fix test cwd before calibration,MINOR_SETUP,npm run test,node
lbv2_0070,datadog/dd-trace-js,0.8200,baseline_tests_execute: ,add preflight install or fix test cwd before calibration,MINOR_SETUP,npm run test,node
lbv2_0071,datadog/dd-trace-js,0.8200,baseline_tests_execute: heuristic: package script likely runnable; live smoke not executed,add preflight install or fix test cwd before calibration,MINOR_SETUP,yarn test,node
lbv2_0072,datadog/dd-trace-js,0.8200,baseline_tests_execute: ,add preflight install or fix test cwd before calibration,MINOR_SETUP,npm run test,node
lbv2_0073,datadog/dd-trace-js,0.8200,baseline_tests_execute: heuristic: package script likely runnable; live smoke not executed,add preflight install or fix test cwd before calibration,MINOR_SETUP,yarn test,node
lbv2_0074,fixmyberlin/tilda-geo,0.5200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0075,fixmyberlin/tilda-geo,0.4650,baseline_tests_execute: Vitest binary not on PATH,exclude: invalid or missing test command,DROP,Vitest,node
lbv2_0076,fixmyberlin/tilda-geo,0.4650,baseline_tests_execute: Vitest binary not on PATH,exclude: invalid or missing test command,DROP,Vitest,node
lbv2_0077,goldenpotato137/potatovn,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0078,googlecloudplatform/vertex-ai-creative-studio,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0079,googlecloudplatform/vertex-ai-creative-studio,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0080,googlecloudplatform/vertex-ai-creative-studio,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0081,insightsoftwareconsortium/itk,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0082,insightsoftwareconsortium/itk,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0083,jmberesford/retrom,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,rust
lbv2_0084,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0085,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0086,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0087,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0088,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0089,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0090,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0091,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0092,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0093,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0094,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0095,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0096,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0097,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0098,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0099,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0100,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0101,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0102,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0103,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0104,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0105,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0106,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0107,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0108,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0109,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0110,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0111,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0112,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0113,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0114,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0115,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0116,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0117,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0118,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0119,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0120,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0121,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0122,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0123,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0124,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0125,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0126,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0127,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0128,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0129,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0130,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0131,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0132,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0133,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0134,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0135,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0136,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0137,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0138,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0139,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0140,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0141,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0142,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0143,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0144,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0145,kuberocketci/kuberocketai,0.5900,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,go
lbv2_0146,langchain-ai/langchain,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0147,langchain-ai/langchain,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0148,langchain-ai/langchain,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0149,langchain-ai/langchain,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0150,langchain-ai/langchain,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0151,langgenius/dify,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0152,langgenius/dify,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0153,langgenius/dify,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0154,louisshark/chatgpt_system_prompt,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0155,microsoft/vscode,0.5200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0156,microsoft/vscode,0.5200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0157,microsoft/vscode,0.5200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0158,microsoft/vscode,0.5200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0159,microsoft/vscode,0.5200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0160,microsoft/vscode,0.5200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0161,modelengine-group/nexent,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0162,modelengine-group/nexent,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0163,modelengine-group/nexent,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0164,modelengine-group/nexent,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0165,modelengine-group/nexent,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0166,modelengine-group/nexent,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0167,modelengine-group/nexent,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0168,modelengine-group/nexent,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0169,myriad-dreamin/tinymist,0.7700,baseline_tests_execute: heuristic: package script likely runnable; live smoke not executed,add preflight install or fix test cwd before calibration,MINOR_SETUP,yarn test,node
lbv2_0170,myriad-dreamin/tinymist,0.7700,baseline_tests_execute: heuristic: package script likely runnable; live smoke not executed,add preflight install or fix test cwd before calibration,MINOR_SETUP,yarn test,node
lbv2_0171,myriad-dreamin/tinymist,0.7700,baseline_tests_execute: heuristic: package script likely runnable; live smoke not executed,add preflight install or fix test cwd before calibration,MINOR_SETUP,yarn test,node
lbv2_0172,myriad-dreamin/tinymist,0.7700,baseline_tests_execute: heuristic: package script likely runnable; live smoke not executed,add preflight install or fix test cwd before calibration,MINOR_SETUP,yarn test,node
lbv2_0173,myriad-dreamin/tinymist,0.5400,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,rust
lbv2_0174,nvidia/physicsnemo,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0175,nvidia/physicsnemo,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0176,nvidia/physicsnemo,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0177,nvidia/physicsnemo,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0178,nvidia/physicsnemo,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0179,nvidia/physicsnemo,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0180,nvidia/physicsnemo,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0181,paloaltonetworks/docusaurus-openapi-docs,0.8200,baseline_tests_execute: heuristic: package script likely runnable; live smoke not executed,add preflight install or fix test cwd before calibration,MINOR_SETUP,yarn test,node
lbv2_0182,prefecthq/prefect,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0183,prefecthq/prefect,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0184,prefecthq/prefect,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0185,prefecthq/prefect,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0186,prefecthq/prefect,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0187,prefecthq/prefect,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0188,prismer-ai/prismer,0.8200,baseline_tests_execute: ,add preflight install or fix test cwd before calibration,MINOR_SETUP,npm run test,node
lbv2_0189,pydantic/pydantic-ai,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0190,vercel/next.js,0.5400,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,rust
lbv2_0191,vercel/next.js,0.5400,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,rust
lbv2_0192,vercel/next.js,0.5400,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,rust
lbv2_0193,vercel/next.js,0.5400,baseline_tests_execute: ,exclude: invalid or missing test command,DROP,pytest,rust
