case_id,candidate_id,repository,repo_id,ecosystem,commit_sha,anchor_path_true,anchor_path_false,decoy_path,load_bearing_role,calibrated_expected_success,estimated_success_rate,repairability_score,valid_phase0,reviewer_accept,failure_reasons,true_anchor_resolves,false_anchor_not_resolves,false_anchor_plausible,decoy_distinct_from_true,decoy_resolves,lb_by_construction,pb_by_construction,no_task_leak,success_rate_in_band,estimated_success_rate_in_band,repairability_score_present,not_duplicated_repo_path,repo_case_cap,ecosystem_balance_cohort,all_cells_feasible
1bf1e91d4777d875,lbv2_0329,astral-sh/ruff,40c2c54a4c6490e8,other,523376a9e212418caf8296840f0a305439c72d33,pyproject.toml,proxy.toml,Cargo.toml,edit,0.4450,0.4900,3.0000,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
fa545f0a92aa171d,lbv2_0159,microsoft/vscode,0d8bce7e29a5cd98,python,363e8f5b965ac8e73435e1258771b3407b195259,scripts/sync-agent-host-protocol.ts,scripts/sync-agent-host-core.ts,scripts/code-agent-host.js,edit,0.4993,0.6900,3.0000,True,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
1f69fffb4fb41600,lbv2_0054,azure/oav,d5d314dafcc3125b,node,2dc4e397bf4355059043be102bf47a9d9627f75e,package-lock.json,package-core.json,package.json,edit,0.4717,0.6900,3.0000,True,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
4f7981489a817e80,lbv2_0298,agentwrapper/agent-orchestrator,709dc9caa5f1ae36,other,718a1b135c0fd39cc59cde839a71c17e9f8be86a,backend/internal/service/,backend/internal/session,backend/.golangci.yml,edit,0.4288,0.4900,3.0000,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
b929f379e955a660,lbv2_0026,alphabitcore/nexus-gateway,728eba3dd2de5fd6,node,3de94a131a29dc1cde356ebbdd2fc18103977b16,CLAUDE.md,api.md,CHANGELOG.md,edit,0.4717,0.6900,3.0000,True,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
ba9ebf91f505caac,lbv2_0380,langgenius/dify,97dcab4759c83fdb,python,87bf7401f1879091eb8b9a4a8017fedd120359c8,api/libs/,api/api,api/.dockerignore,edit,0.4976,0.4900,2.0000,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
e6e06694f4d15f4f,lbv2_0037,automattic/wp-calypso,3f33ab9828ac52ad,node,3308c17034223fb30d6d0a36790858732a6e9b7f,.github/PULL_REQUEST_TEMPLATE.md,.github/PULL_REQUEST_api.md,.github/ISSUE_TEMPLATE.md,edit,0.4669,0.6900,2.0000,True,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
c2e719f548713d54,lbv2_0077,goldenpotato137/potatovn,f9322113d8450527,python,37ae2dab819870ccaec51b4f7fbb2d10f901de32,.github/.clinerules/main.md,.github/.clinerules/api.md,.github/.clinerules/project-info-galgamemanager-server.md,edit,0.4976,0.6900,3.0000,True,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
5c319b36368735a7,lbv2_0073,datadog/dd-trace-js,045697c18e22b2e6,node,4b40f00f7860d074ad4346a17b164b5c57e409a4,index.d.ts,index.api.ts,docs/test.ts,edit,0.4548,0.6900,3.0000,True,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
8921c9d4e98fba03,lbv2_0313,alphabitcore/nexus-gateway,728eba3dd2de5fd6,other,3de94a131a29dc1cde356ebbdd2fc18103977b16,packages/ai-gateway/,packages/gateway,.githooks/pre-commit,edit,0.4025,0.4900,2.0000,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
