candidate_id,repository,reference,instruction_path,role,test_command,compilation_complexity,edited_files_estimate,test_complexity,dependency_depth,historical_failure_rate,composite_difficulty,raw_logistic_success,calibrated_expected_success,calibration_tier,prior_estimated_success_rate,historical_match,recommended_for_pilot
lbv2_0040,automattic/wp-calypso,client/dashboard,.claude/skills/dashboard-create-screen/SKILL.md,edit,pytest,0.33,0.4,0.27,0.25,1.0,0.4494,0.5841,0.5858,target_band,0.69,repo,True
lbv2_1350,automattic/wp-calypso,client/sections-middleware.js,client/reader/spaces/AGENTS.md,inspect,pytest,0.33,0.4,0.27,0.25,1.0,0.4494,0.5841,0.5858,target_band,0.58,repo,True
lbv2_0216,alt-f4-llc/dotfiles.vorpal,src/user/claude-code/agents/security-engineer.md,src/user/claude-code/skills/code-review-verdict/SKILL.md,edit,pytest,0.18,0.55,0.15,0.625,0.875,0.4496,0.5837,0.5855,target_band,0.59,global,True
lbv2_0217,alt-f4-llc/dotfiles.vorpal,src/user/claude-code/agents/senior-engineer.md,src/user/claude-code/skills/simplify-scout/SKILL.md,edit,pytest,0.18,0.55,0.15,0.625,0.875,0.4496,0.5837,0.5855,target_band,0.59,global,True
lbv2_0218,alt-f4-llc/dotfiles.vorpal,src/user/claude-code/agents/senior-engineer.md,src/user/codex/skills/simplify-scout/SKILL.md,edit,pytest,0.18,0.55,0.15,0.625,0.875,0.4496,0.5837,0.5855,target_band,0.59,global,True
lbv2_0219,alt-f4-llc/dotfiles.vorpal,src/user/claude-code/agents/staff-engineer.md,src/user/claude-code/skills/code-review-verdict/SKILL.md,edit,pytest,0.18,0.55,0.15,0.625,0.875,0.4496,0.5837,0.5855,target_band,0.59,global,True
lbv2_0220,alt-f4-llc/dotfiles.vorpal,src/user/claude-code/agents/team-lead.md,.claude/skills/evolve-model-distribution/SKILL.md,edit,pytest,0.18,0.55,0.15,0.625,0.875,0.4496,0.5837,0.5855,target_band,0.59,global,True
lbv2_0221,alt-f4-llc/dotfiles.vorpal,src/user/claude-code/agents/team-lead.md,src/user/claude-code/skills/verify-ac/SKILL.md,edit,pytest,0.18,0.55,0.15,0.625,0.875,0.4496,0.5837,0.5855,target_band,0.59,global,True
lbv2_0222,alt-f4-llc/dotfiles.vorpal,src/user/claude-code/agents/team-lead.md,src/user/claude-code/skills/vote/SKILL.md,edit,pytest,0.18,0.55,0.15,0.625,0.875,0.4496,0.5837,0.5855,target_band,0.59,global,True
lbv2_0223,alt-f4-llc/dotfiles.vorpal,src/user/codex/agents/security-engineer.toml,src/user/codex/skills/code-review-verdict/SKILL.md,edit,pytest,0.18,0.55,0.15,0.625,0.875,0.4496,0.5837,0.5855,target_band,0.59,global,True
lbv2_0224,alt-f4-llc/dotfiles.vorpal,src/user/codex/agents/staff-engineer.toml,src/user/codex/skills/code-review-verdict/SKILL.md,edit,pytest,0.18,0.55,0.15,0.625,0.875,0.4496,0.5837,0.5855,target_band,0.59,global,True
lbv2_0225,alt-f4-llc/dotfiles.vorpal,src/user/codex/personas/team-lead.md,.codex/skills/evolve-model-distribution/SKILL.md,edit,pytest,0.18,0.55,0.15,0.625,0.875,0.4496,0.5837,0.5855,target_band,0.59,global,True
lbv2_0226,alt-f4-llc/dotfiles.vorpal,src/user/codex/personas/team-lead.md,src/user/codex/skills/verify-ac/SKILL.md,edit,pytest,0.18,0.55,0.15,0.625,0.875,0.4496,0.5837,0.5855,target_band,0.59,global,True
lbv2_0227,alt-f4-llc/dotfiles.vorpal,src/user/codex/personas/team-lead.md,src/user/codex/skills/vote/SKILL.md,edit,pytest,0.18,0.55,0.15,0.625,0.875,0.4496,0.5837,0.5855,target_band,0.59,global,True
lbv2_0240,azure-samples/art-voice-agent-accelerator,devops/scripts/azd/helpers/preflight-checks.sh,.github/skills/deployment-guide/SKILL.md,edit,pytest,0.18,0.55,0.15,0.625,0.875,0.4496,0.5837,0.5855,target_band,0.59,global,True
lbv2_0535,automattic/wp-calypso,client/dashboard/test-utils.tsx,.cursor/rules/dashboard-testing.mdc,execute,pytest,0.33,0.4,0.19,0.375,1.0,0.4502,0.5826,0.5847,target_band,0.67,repo,True
lbv2_0306,alfanous-team/alfanous,src/alfanous_import/,.github/copilot-instructions.md,edit,pytest,0.36,0.67,0.15,0.25,0.875,0.4508,0.5814,0.5839,target_band,0.49,global,True
lbv2_0585,datadog/dd-trace-js,docs/test.ts,.agents/skills/apm-integrations/SKILL.md,execute,npm run test,0.55,0.02,0.47,0.25,0.875,0.4524,0.5783,0.5818,target_band,0.67,global,True
lbv2_0587,datadog/dd-trace-js,docs/test.ts,AGENTS.md,execute,yarn test,0.55,0.02,0.47,0.25,0.875,0.4524,0.5783,0.5818,target_band,0.67,global,True
lbv2_0821,azure/azure-sdk-tools,eng/pipelines/templates/stages/archetype-sdk-tool-dotnet.yml,.github/copilot-instructions.md,execute,pytest,0.36,0.35,0.15,0.625,0.875,0.4532,0.5767,0.5807,target_band,0.57,global,True
lbv2_0872,dagster-io/dagster,docs/docs/guides/automate/declarative-automation,.claude/skills/dagster-docs-skill/SKILL.md,execute,pytest,0.36,0.35,0.15,0.625,0.875,0.4532,0.5767,0.5807,target_band,0.57,global,True
lbv2_1053,copilotkit/copilotkit,packages/,AGENTS.md,execute,pytest,0.48,0.35,0.15,0.305,1.0,0.4534,0.5763,0.5804,target_band,0.47,repo,True
lbv2_1054,copilotkit/copilotkit,packages/,CLAUDE.md,execute,pytest,0.48,0.35,0.15,0.305,1.0,0.4534,0.5763,0.5804,target_band,0.47,repo,True
lbv2_1222,pydantic/pydantic-ai,tests/,.claude/skills/testing-skill/SKILL.md,execute,pytest,0.18,1.0,0.07,0.125,1.0,0.4564,0.5705,0.5763,target_band,0.47,repo,True
lbv2_1475,pydantic/pydantic-ai,tests/,.github/workflows/shared/prompts/pydantic-ai-bug-hunter.md,inspect,pytest,0.18,1.0,0.07,0.125,1.0,0.4564,0.5705,0.5763,target_band,0.38,repo,True
lbv2_1476,pydantic/pydantic-ai,tests/,.github/workflows/shared/prompts/pydantic-ai-stale-issues-finder.md,inspect,pytest,0.18,1.0,0.07,0.125,1.0,0.4564,0.5705,0.5763,target_band,0.38,repo,True
lbv2_1477,pydantic/pydantic-ai,tests/,tests/AGENTS.md,inspect,pytest,0.18,1.0,0.07,0.125,1.0,0.4564,0.5705,0.5763,target_band,0.38,repo,True
lbv2_1261,vercel/next.js,test/,.agents/skills/write-api-reference/SKILL.md,execute,pytest,0.18,1.0,0.07,0.125,1.0,0.4564,0.5705,0.5763,target_band,0.47,repo,True
lbv2_1262,vercel/next.js,test/,AGENTS.md,execute,pytest,0.18,1.0,0.07,0.125,1.0,0.4564,0.5705,0.5763,target_band,0.47,repo,True
lbv2_1383,agents2agentsai/ata,.codex/skills/babysit-pr/references/heuristics.md,.codex/skills/babysit-pr/SKILL.md,inspect,pytest,0.18,0.5,0.15,0.725,0.875,0.4566,0.5701,0.5761,target_band,0.48,global,True
lbv2_1429,alt-f4-llc/dotfiles.vorpal,src/user/codex/skills/,.codex/skills/evolve-agents/SKILL.md,inspect,pytest,0.18,0.7,0.15,0.5,0.875,0.4566,0.5701,0.5761,target_band,0.38,global,True
lbv2_1430,alt-f4-llc/dotfiles.vorpal,src/user/codex/skills/,.codex/skills/evolve-suite/SKILL.md,inspect,pytest,0.18,0.7,0.15,0.5,0.875,0.4566,0.5701,0.5761,target_band,0.38,global,True
lbv2_1096,goldenpotato137/potatovn,AuthServer/,AGENTS.md,execute,pytest,0.18,0.9,0.15,0.125,1.0,0.4576,0.5681,0.5747,target_band,0.47,spec,True
lbv2_1097,goldenpotato137/potatovn,GalgameManager.Core/,AGENTS.md,execute,pytest,0.18,0.9,0.15,0.125,1.0,0.4576,0.5681,0.5747,target_band,0.47,spec,True
lbv2_1098,goldenpotato137/potatovn,GalgameManager.Server.Test/,AGENTS.md,execute,pytest,0.18,0.9,0.15,0.125,1.0,0.4576,0.5681,0.5747,target_band,0.47,spec,True
lbv2_1099,goldenpotato137/potatovn,GalgameManager.Server/,AGENTS.md,execute,pytest,0.18,0.9,0.15,0.125,1.0,0.4576,0.5681,0.5747,target_band,0.47,spec,True
lbv2_1100,goldenpotato137/potatovn,GalgameManager.Test/,AGENTS.md,execute,pytest,0.18,0.9,0.15,0.125,1.0,0.4576,0.5681,0.5747,target_band,0.47,spec,True
lbv2_1101,goldenpotato137/potatovn,GalgameManager.Tool/,AGENTS.md,execute,pytest,0.18,0.9,0.15,0.125,1.0,0.4576,0.5681,0.5747,target_band,0.47,spec,True
lbv2_1102,goldenpotato137/potatovn,GalgameManager/,AGENTS.md,execute,pytest,0.18,0.9,0.15,0.125,1.0,0.4576,0.5681,0.5747,target_band,0.47,spec,True
lbv2_1103,goldenpotato137/potatovn,PotatoVN.Doc/,AGENTS.md,execute,pytest,0.18,0.9,0.15,0.125,1.0,0.4576,0.5681,0.5747,target_band,0.47,spec,True
lbv2_1192,prefecthq/prefect,.github/,.claude/skills/document-changes/SKILL.md,execute,pytest,0.18,1.0,0.15,0.225,0.8333,0.4583,0.5668,0.5738,target_band,0.47,repo,True
lbv2_0622,goldenpotato137/potatovn,GalgameManager.Server.Test/TestBase.cs,AGENTS.md,execute,pytest,0.18,0.9,0.07,0.25,1.0,0.4584,0.5665,0.5736,target_band,0.67,spec,True
lbv2_0624,goldenpotato137/potatovn,GalgameManager.Test/test.runsettings,AGENTS.md,execute,pytest,0.18,0.9,0.07,0.25,1.0,0.4584,0.5665,0.5736,target_band,0.67,spec,True
lbv2_0654,langgenius/dify,api/app.py,.agents/skills/backend-code-review/SKILL.md,execute,pytest,0.33,0.45,0.27,0.25,1.0,0.4584,0.5665,0.5736,target_band,0.67,repo,True
lbv2_0656,langgenius/dify,api/repositories,.agents/skills/backend-code-review/SKILL.md,execute,pytest,0.33,0.45,0.27,0.25,1.0,0.4584,0.5665,0.5736,target_band,0.67,repo,True
lbv2_0657,langgenius/dify,dify-agent/src,dify-agent/AGENTS.md,execute,pytest,0.33,0.45,0.27,0.25,1.0,0.4584,0.5665,0.5736,target_band,0.67,repo,True
lbv2_0667,langgenius/dify,web/vitest.setup.ts,.agents/skills/frontend-testing/SKILL.md,execute,pytest,0.33,0.45,0.27,0.25,1.0,0.4584,0.5665,0.5736,target_band,0.67,repo,True
lbv2_1121,langgenius/dify,dify-agent/src/,dify-agent/AGENTS.md,execute,pytest,0.33,0.45,0.27,0.25,1.0,0.4584,0.5665,0.5736,target_band,0.47,repo,True
lbv2_1129,langgenius/dify,web/vitest.config.ts,.agents/skills/frontend-testing/SKILL.md,execute,pytest,0.33,0.45,0.27,0.25,1.0,0.4584,0.5665,0.5736,target_band,0.47,repo,True
lbv2_1521,langgenius/dify,web/AGENTS.md,.agents/skills/frontend-code-review/SKILL.md,inspect,pytest,0.33,0.45,0.27,0.25,1.0,0.4584,0.5665,0.5736,target_band,0.58,repo,True
lbv2_0498,alphabitcore/nexus-gateway,scripts/.coverage-allowlist,.cursor/rules/unit-test-coverage-95.mdc,execute,go test,0.45,0.27,0.4,0.25,0.875,0.4586,0.5661,0.5733,target_band,0.67,global,True
lbv2_0665,langgenius/dify,web/testing/testing.md,.agents/skills/frontend-testing/SKILL.md,execute,pytest,0.33,0.45,0.19,0.375,1.0,0.4592,0.565,0.5725,target_band,0.67,repo,True
lbv2_0666,langgenius/dify,web/testing/testing.md,web/AGENTS.md,execute,pytest,0.33,0.45,0.19,0.375,1.0,0.4592,0.565,0.5725,target_band,0.67,repo,True
lbv2_1122,langgenius/dify,dify-agent/tests/local/,dify-agent/AGENTS.md,execute,pytest,0.33,0.45,0.19,0.375,1.0,0.4592,0.565,0.5725,target_band,0.47,repo,True
lbv2_1371,langgenius/dify,web/testing/testing.md,.agents/skills/frontend-testing/references/workflow.md,inspect,pytest,0.33,0.45,0.19,0.375,1.0,0.4592,0.565,0.5725,target_band,0.58,repo,True
lbv2_1493,langgenius/dify,web/docs/test.md,.agents/skills/frontend-code-review/SKILL.md,execute,pytest,0.33,0.45,0.19,0.375,1.0,0.4592,0.565,0.5725,target_band,0.67,repo,True
lbv2_1316,alphabitcore/nexus-gateway,.claude/skills/add-provider-adapter/,.cursor/rules/provider-adapter-canonical-openai.mdc,edit,pytest,0.18,0.75,0.15,0.475,0.875,0.4616,0.5602,0.5692,target_band,0.49,global,True
lbv2_0183,prefecthq/prefect,docs/docs.json,.claude/skills/document-changes/SKILL.md,edit,pytest,0.18,1.0,0.15,0.25,0.8333,0.4623,0.5589,0.5683,target_band,0.69,repo,True
lbv2_0184,prefecthq/prefect,scripts/generate_api_ref.py,.claude/skills/document-changes/SKILL.md,edit,pytest,0.18,1.0,0.15,0.25,0.8333,0.4623,0.5589,0.5683,target_band,0.69,repo,True
lbv2_0185,prefecthq/prefect,scripts/generate_settings_ref.py,.claude/skills/document-changes/SKILL.md,edit,pytest,0.18,1.0,0.15,0.25,0.8333,0.4623,0.5589,0.5683,target_band,0.69,repo,True
lbv2_0750,prefecthq/prefect,docs/conftest.py,.claude/skills/write-docs/SKILL.md,execute,pytest,0.18,1.0,0.15,0.25,0.8333,0.4623,0.5589,0.5683,target_band,0.67,repo,True
lbv2_1195,prefecthq/prefect,client/pyproject.toml,AGENTS.md,execute,pytest,0.18,1.0,0.15,0.25,0.8333,0.4623,0.5589,0.5683,target_band,0.47,repo,True
lbv2_1196,prefecthq/prefect,client/pyproject.toml,client/AGENTS.md,execute,pytest,0.18,1.0,0.15,0.25,0.8333,0.4623,0.5589,0.5683,target_band,0.47,spec,True
lbv2_1206,prefecthq/prefect,src/prefect/,tests/AGENTS.md,execute,pytest,0.18,1.0,0.15,0.25,0.8333,0.4623,0.5589,0.5683,target_band,0.47,repo,True
lbv2_1207,prefecthq/prefect,tests/,AGENTS.md,execute,pytest,0.36,1.0,0.07,0.125,0.8333,0.4627,0.5581,0.5678,target_band,0.47,repo,True
lbv2_0592,datadog/dd-trace-js,packages/dd-trace/test/llmobs/plugins/ai/index.spec.js,.agents/skills/llmobs-testing/references/test-structure.md,execute,pytest,0.3,0.25,0.07,1.0,0.875,0.4628,0.5579,0.5676,target_band,0.67,global,True
lbv2_0593,datadog/dd-trace-js,packages/dd-trace/test/llmobs/plugins/anthropic/index.spec.js,.agents/skills/llmobs-integration/references/reference-implementations.md,execute,pytest,0.3,0.25,0.07,1.0,0.875,0.4628,0.5579,0.5676,target_band,0.67,global,True
lbv2_0594,datadog/dd-trace-js,packages/dd-trace/test/llmobs/plugins/anthropic/index.spec.js,.agents/skills/llmobs-testing/references/test-structure.md,execute,pytest,0.3,0.25,0.07,1.0,0.875,0.4628,0.5579,0.5676,target_band,0.67,global,True
lbv2_0595,datadog/dd-trace-js,packages/dd-trace/test/llmobs/plugins/google-genai/index.spec.js,.agents/skills/llmobs-integration/references/reference-implementations.md,execute,pytest,0.3,0.25,0.07,1.0,0.875,0.4628,0.5579,0.5676,target_band,0.67,global,True
lbv2_0596,datadog/dd-trace-js,packages/dd-trace/test/llmobs/plugins/google-genai/index.spec.js,.agents/skills/llmobs-testing/references/test-structure.md,execute,pytest,0.3,0.25,0.07,1.0,0.875,0.4628,0.5579,0.5676,target_band,0.67,global,True
lbv2_0597,datadog/dd-trace-js,packages/dd-trace/test/llmobs/plugins/langgraph/index.spec.js,.agents/skills/llmobs-testing/references/test-structure.md,execute,pytest,0.3,0.25,0.07,1.0,0.875,0.4628,0.5579,0.5676,target_band,0.67,global,True
lbv2_0598,datadog/dd-trace-js,packages/dd-trace/test/llmobs/plugins/openai/openaiv4.spec.js,.agents/skills/llmobs-testing/references/test-structure.md,execute,pytest,0.3,0.25,0.07,1.0,0.875,0.4628,0.5579,0.5676,target_band,0.67,global,True
lbv2_1487,datadog/dd-trace-js,packages/dd-trace/test/llmobs/plugins/langgraph/index.spec.js,.agents/skills/llmobs-testing/references/assertion-helpers.md,execute,pytest,0.3,0.25,0.07,1.0,0.875,0.4628,0.5579,0.5676,target_band,0.67,global,True
lbv2_0753,prefecthq/prefect,tests/cli/test_flow.py,src/prefect/cli/AGENTS.md,execute,pytest,0.18,1.0,0.07,0.375,0.8333,0.4631,0.5573,0.5672,target_band,0.67,repo,True
lbv2_1213,prefecthq/prefect,tests/cli/deploy/,src/prefect/cli/AGENTS.md,execute,pytest,0.18,1.0,0.07,0.375,0.8333,0.4631,0.5573,0.5672,target_band,0.47,repo,True
lbv2_1509,prefecthq/prefect,src/prefect/testing/,tests/AGENTS.md,execute,pytest,0.18,1.0,0.07,0.375,0.8333,0.4631,0.5573,0.5672,target_band,0.47,repo,True
lbv2_0881,datadog/stratus-red-team,v2/internal/attacktechniques/main.go,.claude/skills/create-attack-technique/SKILL.md,execute,pytest,0.18,0.6,0.15,0.5,1.0,0.4636,0.5563,0.5665,target_band,0.57,repo,True
lbv2_0822,azure/azure-sdk-tools,src/dotnet/APIView/ClientSPA,.github/instructions/package-lock.instructions.md,execute,vitest,0.12,0.35,0.5,0.5,0.875,0.4644,0.5547,0.5654,target_band,0.57,global,True
